寿命,触发因素,坝体高度,坝体长度,坝体宽度,0.0,0.0,0.0,0.0,0.0,0.0,年平均流量,0.0
0.01,10.0,10.0,80.0,150.0,100.0,800.0,1500.0,6400.0,12000.0,22500.0,4.0,16.0
0.08,10.0,8.0,300.0,200.0,64.0,2400.0,1600.0,90000.0,60000.0,40000.0,160.0,25600.0
0.2,10.0,10.0,130.0,380.0,100.0,1300.0,3800.0,16900.0,49400.0,144400.0,30.0,900.0
0.7,10.0,50.0,180.0,300.0,2500.0,9000.0,15000.0,32400.0,54000.0,90000.0,70.0,4900.0
1.8,1.0,18.0,274.0,880.0,324.0,4932.0,15840.0,75076.0,241120.0,774400.0,428.0,183184.0
3.5,10.0,80.0,250.0,330.0,6400.0,20000.0,26400.0,62500.0,82500.0,108900.0,70.0,4900.0
10.0,100.0,50.0,400.0,500.0,2500.0,20000.0,25000.0,160000.0,200000.0,250000.0,152.0,23104.0
13.9,100.0,150.0,600.0,200.0,22500.0,90000.0,30000.0,360000.0,120000.0,40000.0,2.0,4.0
22.0,10.0,80.0,300.0,350.0,6400.0,24000.0,28000.0,90000.0,105000.0,122500.0,1.0,1.0
27.87,100.0,25.0,120.0,140.0,625.0,3000.0,3500.0,14400.0,16800.0,19600.0,13.9,193.21
37.0,10.0,20.0,200.0,300.0,400.0,4000.0,6000.0,40000.0,60000.0,90000.0,7.0,49.0
68.0,10.0,40.0,100.0,200.0,1600.0,4000.0,8000.0,10000.0,20000.0,40000.0,1.0,1.0
350.0,10.0,60.0,250.0,500.0,3600.0,15000.0,30000.0,62500.0,125000.0,250000.0,30.0,900.0
