稳定性,坝体高度,坝体宽度,下游河道坡度
1.0,1.30103,2.6532125,0.30103
1.0,1.845098,2.7781513,-0.15490197
1.0,1.1760913,2.544068,0.8325089
0.0,1.6334685,2.968483,-0.04575749
0.0,1.60206,3.0,0.20411998
1.0,1.30103,3.2552724,0.17609125
1.0,0.845098,2.7403626,0.07918125
0.0,1.30103,2.39794,0.4913617
0.0,1.0,2.4771214,1.2227165
0.0,1.0,2.531479,0.23044892
1.0,1.4771212,2.845098,0.23044892
0.0,1.30103,2.39794,-0.69897
0.0,1.39794,2.845098,-0.39794
1.0,1.60206,3.0681858,0.0
1.0,0.60206,2.531479,0.23044892
0.0,0.60206,2.544068,0.3424227
1.0,1.30103,2.7781513,-0.096910015
1.0,0.69897,2.0,0.43136376
0.0,1.30103,2.361728,0.17609125
0.0,1.4771212,2.672098,0.59106463
1.0,1.30103,2.39794,0.2787536
0.0,0.90309,2.50515,-0.22184876
0.0,1.0,2.1760912,-0.22184876
0.0,1.0,2.361728,0.41497335
1.0,1.4771212,2.5740314,0.69897
0.0,0.9542425,2.7781513,0.9242793
1.0,1.30103,2.929419,0.9777236
0.0,1.7781513,2.6532125,-0.096910015
1.0,1.5502284,2.7596679,0.7242759
0.0,1.0,2.7403626,-0.52287877
0.0,1.1760913,2.6532125,0.53147894
1.0,1.8750613,2.5682018,0.5185139
1.0,1.4149734,2.6532125,-0.52287877
1.0,1.7403626,2.544068,-0.096910015
1.0,1.60206,2.7596679,0.54406804
0.0,1.243038,2.0,0.60206
1.0,1.447158,2.5118833,0.041392684
1.0,1.8750613,2.6532125,0.0
1.0,0.7781513,2.30103,0.54406804
0.0,1.39794,2.4771214,0.14612803
0.0,0.69897,2.60206,-0.52287877
1.0,1.7558749,2.5118833,0.14612803
1.0,1.1760913,2.544068,0.0
1.0,1.1760913,2.30103,0.43136376
1.0,1.60206,3.0791812,0.041392684
1.0,1.90309,3.0,-0.096910015
0.0,1.30103,2.30103,1.0
1.0,1.4771212,2.60206,0.07918125
1.0,1.69897,2.7781513,0.041392684
0.0,1.4771212,2.544068,0.81954396
1.0,1.0,2.30103,0.5563025
1.0,1.39794,3.0,0.23044892
1.0,2.0,2.7242758,0.53147894
0.0,1.0791812,2.4313638,0.8920946
0.0,1.0,2.4313638,0.07918125
0.0,1.0791812,2.2552724,0.07918125
1.0,1.60206,2.4771214,0.5563025
0.0,1.4771212,2.7923918,-0.15490197
1.0,1.1760913,2.4941547,0.3424227
0.0,1.90309,2.942008,0.07918125
0.0,1.1760913,2.69897,0.17609125
1.0,1.60206,2.6532125,1.3384565
0.0,1.845098,2.7781513,-0.15490197
0.0,1.69897,2.929419,0.47712126
1.0,1.519828,3.30103,-0.22184876
0.0,1.39794,2.90309,0.60206
0.0,1.39794,2.672098,0.2787536
1.0,1.1760913,2.544068,0.8325089
1.0,1.1760913,2.30103,0.54406804
0.0,1.5440681,2.69897,-0.39794
0.0,1.60206,2.60206,-0.22184876
1.0,1.60206,3.0211892,0.30103
1.0,1.30103,2.8129134,-0.22184876
1.0,1.0,2.6532125,0.2787536
1.0,1.0,2.2787535,0.41497335
1.0,1.60206,3.0413928,0.0
1.0,1.1760913,2.9542425,1.3201463
1.0,1.20412,3.1383028,-0.096910015
1.0,1.6532125,3.0,0.7781513
1.0,1.69897,3.2552724,0.80618
1.0,1.30103,2.9542425,0.60206
1.0,1.845098,3.0606978,-0.30103
1.0,1.4771212,3.50515,0.54406804
1.0,1.7781513,2.90309,-0.22184876
1.0,1.30103,2.6812413,0.0
1.0,2.0,3.3802114,0.041392684
1.0,1.69897,2.8129134,0.50514996
1.0,1.6532125,3.230449,0.7558749
1.0,1.4771212,3.0413928,0.5185139
1.0,1.1760913,2.544068,0.9542425
1.0,1.4771212,2.69897,0.07918125
0.0,0.69897,2.1760912,1.2741579
0.0,1.0,2.544068,0.5797836
1.0,1.30103,2.845098,-0.52287877
0.0,1.1760913,3.0,0.30103
1.0,1.1760913,2.4913616,0.81291336
0.0,0.69897,2.9777236,-0.69897
1.0,1.60206,2.90309,0.8325089
1.0,1.7781513,2.6766937,0.63346845
0.0,1.1760913,2.3222194,0.041392684
0.0,1.0,2.0606978,0.041392684
0.0,1.39794,2.6532125,-0.04575749
0.0,1.0,2.7781513,0.4913617
0.0,1.1760913,2.0,0.9777236
1.0,1.30103,2.1760912,-0.30103
0.0,1.2730013,2.544068,-0.39794
1.0,1.90309,2.8293037,0.44715804
0.0,0.845098,2.90309,0.5563025
1.0,1.30103,2.69897,0.23044892
0.0,1.4771212,2.4393327,0.041392684
0.0,1.30103,2.50515,0.54406804
1.0,1.30103,2.929419,0.07918125
1.0,1.4771212,2.845098,0.07918125
1.0,2.0,2.7923918,0.36172783
0.0,0.69897,3.1760912,0.83884907
0.0,1.0,2.0413928,1.0086001
0.0,1.30103,2.2787535,0.2787536
0.0,1.0,2.2552724,0.53147894
0.0,0.90309,2.9542425,0.32221928
0.0,1.0,2.7781513,0.14612803
0.0,1.4771212,2.9542425,0.81954396
0.0,1.60206,2.5682018,0.63346845
0.0,1.1760913,2.90309,0.07918125
0.0,0.69897,1.845098,-0.096910015
0.0,1.1760913,1.8129133,0.2787536
