稳定性,主要物质组成,坝体高度,坝体宽度,下游河道坡度
0.0,2.0,1.69897,2.09691,0.07918125
0.0,1.0,1.60206,3.0,0.20411998
0.0,2.0,1.0,2.1139433,0.041392684
0.0,2.0,0.9542425,2.20412,0.4913617
0.0,1.0,0.69897,2.6812413,1.1303338
0.0,1.0,1.1760913,2.39794,0.67209786
0.0,1.0,1.09691,2.4149733,0.9912261
0.0,0.0,1.1760913,2.0791812,0.07918125
0.0,2.0,0.69897,2.0791812,0.2787536
0.0,1.0,1.6334685,2.968483,-0.04575749
0.0,2.0,1.0791812,1.69897,0.69897
0.0,0.0,1.1760913,1.8129133,0.2787536
0.0,0.0,0.69897,1.845098,-0.096910015
1.0,1.0,1.30103,2.69897,-0.69897
1.0,1.0,1.5440681,2.8750613,0.07918125
1.0,2.0,1.4771212,3.0,0.14612803
1.0,2.0,1.4771212,3.1139433,0.44715804
1.0,2.0,1.4771212,3.0791812,0.11394335
1.0,2.0,1.4771212,2.7403626,0.0
1.0,2.0,1.60206,3.09691,0.11394335
1.0,1.0,1.30103,2.6532125,0.30103
1.0,2.0,1.60206,2.50515,0.6532125
1.0,1.0,1.30103,2.9542425,0.54406804
1.0,2.0,1.69897,3.2552724,0.0
1.0,1.0,1.1760913,2.20412,0.39794
1.0,2.0,1.30103,2.612784,0.041392684
1.0,2.0,1.6532125,3.0,-0.04575749
1.0,2.0,1.1760913,2.30103,0.20411998
1.0,1.0,1.5440681,3.146128,0.07918125
