稳定性,主要物质组成,坝体体积,坝体高度,坝体宽度,集水区面积,下游河道坡度
0.0,2.0,-0.40823996,1.69897,2.09691,1.9537597,0.07918125
0.0,1.0,1.0,1.60206,3.0,2.2227166,0.20411998
0.0,2.0,-1.0,1.0,2.1139433,2.3802114,0.041392684
0.0,2.0,-1.0,0.9542425,2.20412,0.6532125,0.4913617
0.0,1.0,-0.69897,0.69897,2.6812413,1.4183013,1.1303338
0.0,1.0,-0.7447275,1.1760913,2.39794,0.9912261,0.67209786
0.0,1.0,-0.82390875,1.09691,2.4149733,-0.15490197,0.9912261
0.0,0.0,-0.32330638,1.1760913,2.0791812,1.2455127,0.07918125
0.0,2.0,-1.60206,0.69897,2.0791812,1.2855573,0.2787536
0.0,1.0,0.30103,1.6334685,2.968483,2.9498777,-0.04575749
0.0,2.0,-1.30103,1.0791812,1.69897,0.44715804,0.69897
0.0,0.0,-1.69897,1.1760913,1.8129133,0.748188,0.2787536
0.0,0.0,-2.0,0.69897,1.845098,1.9590414,-0.096910015
1.0,1.0,0.37199092,1.30103,2.69897,2.854306,-0.69897
1.0,1.0,1.7583734,1.5440681,2.8750613,1.1903317,0.07918125
1.0,2.0,1.0,1.4771212,3.0,2.301681,0.14612803
1.0,2.0,0.69897,1.4771212,3.1139433,1.9754318,0.44715804
1.0,2.0,0.811575,1.4771212,3.0791812,2.3094172,0.11394335
1.0,2.0,0.39794,1.4771212,2.7403626,1.8312297,0.0
1.0,2.0,1.1303338,1.60206,3.09691,2.2027607,0.11394335
1.0,1.0,1.1760913,1.30103,2.6532125,1.6106602,0.30103
1.0,2.0,0.17609125,1.60206,2.50515,1.4149734,0.6532125
1.0,1.0,0.39794,1.30103,2.9542425,1.1205739,0.54406804
1.0,2.0,1.60206,1.69897,3.2552724,2.1731863,0.0
1.0,1.0,-0.4436975,1.1760913,2.20412,0.9294189,0.39794
1.0,2.0,0.41497335,1.30103,2.612784,2.4908009,0.041392684
1.0,2.0,1.30103,1.6532125,3.0,2.7477224,-0.04575749
1.0,2.0,-0.39794,1.1760913,2.30103,1.510545,0.20411998
1.0,1.0,1.0,1.5440681,3.146128,1.9818186,0.07918125
