稳定性,坝体体积,坝体高度,下游河道坡度
0.0,-0.40823996,1.69897,0.07918125
0.0,-0.5808707,1.30103,0.07918125
0.0,1.0,1.60206,0.20411998
0.0,-1.0,1.0,0.041392684
0.0,-1.0,0.9542425,0.4913617
0.0,1.5440681,1.69897,0.07918125
0.0,-0.30103,1.0,0.60206
0.0,-0.52287877,1.0,-0.30103
0.0,-0.69897,0.69897,1.1303338
0.0,-0.7447275,1.1760913,0.67209786
0.0,-0.82390875,1.09691,0.9912261
0.0,-0.32330638,1.1760913,0.07918125
0.0,-1.60206,0.69897,0.2787536
0.0,-0.30103,1.30103,0.11394335
0.0,0.30103,1.6334685,-0.04575749
1.0,0.37199092,1.30103,-0.69897
1.0,1.7583734,1.5440681,0.07918125
1.0,1.0,1.4771212,0.14612803
1.0,0.69897,1.4771212,0.44715804
1.0,0.811575,1.4771212,0.11394335
1.0,0.39794,1.4771212,0.0
1.0,1.1303338,1.60206,0.11394335
1.0,1.1760913,1.30103,0.30103
1.0,0.17609125,1.60206,0.6532125
1.0,0.39794,1.30103,0.54406804
1.0,1.60206,1.69897,0.0
1.0,-0.4436975,1.1760913,0.39794
1.0,-0.2600323,1.30103,0.30103
1.0,0.41497335,1.30103,0.041392684
1.0,1.30103,1.6532125,-0.04575749
1.0,-0.39794,1.1760913,0.20411998
1.0,1.0,1.5440681,0.07918125
